1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
0,40
0,40
2,32
229,31
907,30
977,29
872,30
605,31
218,31
153,30
8,29
6,26
48,24
7,25
8,31
104,34
893,31
625,30
447,31
524,32
315,31
129,30
0,29
0,27
3,26
111,25
30,32
261,32
667,31
815,32
277,33
640,31
453,32
395,31
21,29
17,26
20,24
15,25
124,30
261,32
800,30
1106,30
472,32
600,31
710,30
481,28
0,28
0,27
0,26
0,30
71,30
38,36
426,33
483,31
1118,30
374,32
540,31
95,31
1900,28
1900,40
1900,40
1900,40
1900,30
1900,32
605,32
922,31
487,32
509,32
470,32
90,30
0,28
0,25
6,24
1900,27
2,32
218,32
318,30
918,30
371,32
822,30
178,32
103,31
0,28
0,26
0,26
19,29
57,32
208,31
467,29
810,30
681,31
557,31
512,32
180,29
8,28
0,26
25,24
25,27
80,31
526,29
484,31
1294,29
1116,29
538,32
582,31
288,30
0,29
1900,26
0,26
134,26
71,30
280,30
373,31
916,30
508,30
666,29
550,30
165,31
94,28
6,26
0,25
510,29
29,31
207,32
1900,40
404,29
1075,31
958,30
537,31
1900,29
1900,40
1900,40
1900,26
57,27
122,29
307,31
317,31
1019,30
618,31
399,32
573,30
83,30
1900,29
0,26
20,25
3,26
102,31
261,31
660,30
815,30
812,30
826,31
630,30
129,31
19,29
0,26
12,25
0,27
187,31
376,30
459,33
704,30
738,31
964,30
162,32
115,31
40,28
0,26
62,24
65,27
60,30
466,31
851,31
955,31
1076,30
662,31
622,30
608,29
47,28
1900,26
22,24
7,27
1900,32
1900,40
1900,32
1900,30
510,30
571,30
349,31
259,30
85,27
1900,40
1900,26
40,25
110,31
445,28
384,30
829,30
826,31
479,31
1900,31
302,31
0,29
0,26
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
1900,40
0,25
0,28
81,30
396,30
505,30
1014,30
1128,29
854,31
714,30
448,31
1900,30
0,25
0,25
31,27
64,31
255,32
567,30
1900,40
1061,29
737,31
466,30
171,30
92,28
1900,40
0,25
11,27
323,30
97,30
437,31
1155,28
1096,31
880,30
224,32
260,30
45,29
0,25
16,24
43,26
133,31
759,27
387,29
787,29
516,31
743,31
104,32
397,30
54,28
4,26
0,23
0,28
50,31
199,32
791,29
870,30
722,31
256,33
335,31
171,32
2,28
0,27
1900,40
7,28
58,31
119,33
356,32
929,31
1322,30
288,31
587,30
249,30
6,30
33,26
0,25
33,27
114,30
519,32
758,29
457,31
449,31
307,31
154,31
489,30
0,30
0,27
21,25
39,27
109,30
420,29
1000,30
351,32
1113,30
747,31
464,31
43,32
0,30
26,26
0,27
27,27
80,30
732,29
509,32
870,30
807,30
661,32
513,31
29,32
5,28
0,26
1,25
43,27
387,28
500,30
580,30
667,31
952,31
858,31
536,32
278,32
0,30
20,25
8,24
4,28
54,33
296,33
900,29
596,32
820,31
336,33
801,30
300,31
23,29
48,25
0,25
27,27
208,30
541,30
368,32
1083,31
670,31
382,32
596,31
114,32
0,29
22,26
4,25
2,28
41,32
380,30
170,32
449,33
646,31
586,32
494,30
454,29
106,29
2,26
0,26
29,29
184,29
402,31
222,32
1900,31
1038,31
860,31
922,31
157,32
45,30
14,27
0,27
29,29
133,30
332,32
1110,29
959,32
738,31
1157,30
772,31
63,31
122,30
80,27
6,24
33,27
11,31
313,32
543,32
970,31
1342,31
665,32
1081,31
524,30
34,28
1,26
2,27
44,27
176,28
510,28
546,31
595,32
776,32
547,32
1023,31
216,31
38,30
3,27
10,25
55,28
60,32
405,30
1063,27
1203,30
351,32
437,32
781,30
173,31
3,29
79,25
0,24
55,25
172,30
129,32
544,31
666,32
901,31
374,33
459,32
203,31
3,29
0,26
35,24
149,27
96,29
